adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/deD4CXrfpF2gkSa6fWckVnduAk2.jpg,"[28, 12, 14, 35, 10749]",21835,cn,西遊記大結局之仙履奇緣,"This sequel to ""Pandora's Box"" continues director Jeffrey Lau's adaptation of the Buddhism saga ""Journey to the West"". Stranded five centuries in the past, Joker Monkey King must battle a variety of monsters, seductive women and super-powered villains to save the dying Pak Jing-Jing.",4.3777,/ksloRonL1kOq4yErf9LOJ5qDhem.jpg,1995-02-04,A Chinese Odyssey Part Two: Cinderella,False,7.7,258
False,/cY5r0BJqSmym24B3d8Nu7lBo72e.jpg,"[35, 14, 10749]",297021,ja,最近、妹のようすがちょっとおかしいんだが,"Mitsuki and Yuya become stepsister and stepbrother because of their parents' marriage. Mitsuki can't get along with her new family and Yuya doesn't know how to approach his new stepsister. One day, Mitsuki becomes possessed by the spirit of Hiyori.  Hiyori likes Yuya and believes Yuya can help her get to heaven. Hiyori places a leather chastity belt upon on Mitsuki and a plan takes place to help send Hiyori to heaven.",4.3761,/vG56lYDARmQ8uDpvNLqOSxJiBrc.jpg,2014-05-17,"Recently, My Sister Is Unusual",False,6.868,76
False,/aDfGKWdtNHzDmnHkdDyXz7zoDuy.jpg,"[12, 14, 28, 35, 53]",4442,en,The Brothers Grimm,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",4.3747,/v6J7QGCSrtvwvqAt6783BbO3h61.jpg,2005-08-26,The Brothers Grimm,False,5.849,2926
False,/grY5sfuT9YeXWlp4JYCmRZVqjk0.jpg,"[10751, 16, 35, 14]",481084,en,The Addams Family,"The Addams family's lives begin to unravel when they face-off against a treacherous, greedy crafty reality-TV host while also preparing for their extended family to arrive for a major celebration.",4.4455,/q1epO0eO8DWu8Vo8tPfvVlzW48T.jpg,2019-10-10,The Addams Family,False,6.601,2470
False,/mJMriqsFTXzNE37maThHHb6zCGy.jpg,"[14, 9648, 53]",16007,ja,デスノート,"Light Yagami finds the ""Death Note,"" a notebook with the power to kill, and decides to create a Utopia by killing the world's criminals, and soon the world's greatest detective, ""L,"" is hired to find the mysterious murderer. An all out battle between the two greatest minds on earth begins and the winner will control the world.",4.7153,/xiJPZntaz1BMooXfiwi2iZAMbhY.jpg,2006-06-17,Death Note,False,7.061,778
False,/iBl3hhtHC7qQX7jGphIAYLpmpPC.jpg,"[35, 10749, 16, 14]",430214,ja,夜は短し歩けよ乙女,"As a group of university students go out for a night on the town, a sophomore known only as ""The Girl with Black Hair"" experiences a series of surreal encounters with the local nightlife – all the while unaware of the romantic longings of ""Senpai"", a senior student who has been creating increasingly fantastic and contrived reasons to run into her in an effort to win her heart.",3.1333,/cDp45WZNqgAli3u4GTnUhsqFn5K.jpg,2017-04-07,"Night Is Short, Walk On Girl",False,7.431,246
False,/5tmH7vloFSwx6Se2ZZPUSnJ6tbk.jpg,"[27, 14]",78428,cn,聊齋艷譚續集 五通神,"Wu Tung, the lascivious demon of carnal desire, falls for one of his conquests, only to see her destroyed. He demands the girl's village to regularly send him a virgin or face his wrath. One of the girls has his lover's spirit within her.",4.0154,/ighnU4PYk0AQDW9qkD64E5p4hRd.jpg,1991-01-23,Erotic Ghost Story II,False,4.8,32
False,/cb1hZXieb4npx0F2K4yL1WL6NQQ.jpg,"[18, 10402, 14]",1235431,ja,【推しの子】-The Final Act-,"Goro is a gynecologist and idol fan who’s in shock after his favorite star, Ai, announces an impromptu hiatus. Little does Goro realize that he’s about to forge a bond with her that defies all common sense! Lies are an idol’s weapon!",4.2169,/29BjXB8dPvLvJJgZFetd8PvwYiw.jpg,2024-12-20,Oshi no Ko -The Final Act-,False,6.4,10
False,/hU1Q9YVzdYhokr8a9gLywnSUMlN.jpg,"[16, 10751, 28, 14]",1147400,fr,"Miraculous World : Paris, Les Aventures de Toxinelle et Griffe Noire","Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Betterfly, is a superhero. Ladybug and Cat Noir will have to help Betterfly counter the attacks of their evil doubles and prevent them from seizing the Butterfly Miraculous. Can our heroes also help Betterfly make Shadybug and Claw Noir better people?",4.6635,/7Md3nuV0ZprBTnkdR3OrUCEsrSP.jpg,2023-10-21,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",False,7.275,625
False,/af4fSKXcLasXRoCjt0Hto9W53Ko.jpg,"[16, 12, 10751, 14, 878]",88625,ja,映画ドラえもん のび太と鉄人兵団,"Doraemon and Nobita decide to build a perfect toy robot. However, their creation turns out to be a little more uncanny than an object of appreciation and wonder.",4.2417,/rh8di1cyuYHZz37W5iZR00Eg47I.jpg,1986-03-15,Doraemon: Nobita and the Steel Troops,False,6.6,35
False,/ks4StXzCkSHnJzGuQpRDpi18GiI.jpg,"[12, 35, 10751, 14, 10749]",2897,en,Around the World in 80 Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",4.4817,/kk6Rrwh0toMz9tjuUHdS4O3v2Rk.jpg,1956-10-17,Around the World in 80 Days,False,6.639,566
False,/3lf6YCItKcF3Wrrs7tp1PL0eyOT.jpg,"[35, 10751, 16, 14, 10402]",23398,en,Alvin and the Chipmunks: The Squeakquel,"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",4.489,/8mdPqOga5fty15nXmaNcK1fsNMa.jpg,2009-12-21,Alvin and the Chipmunks: The Squeakquel,False,5.655,3108
False,/ihOd5W6qOgrBSLj0uDTnGs8k1aa.jpg,"[10751, 35, 12, 14]",10588,en,The Cat in the Hat,"During a rainy day, and while their mother is out, Conrad and Sally, and their pet fish, are visited by the mischievous Cat in the Hat. Fun soon turns to mayhem, and the siblings must figure out how to rid themselves of the maniacal Cat.",3.8077,/uYYLz67e5xEQMsY858VSSCDsLU6.jpg,2003-11-21,The Cat in the Hat,False,5.293,1768
False,/jh6GJSeqyazoKfi3Lu19N1fvr7e.jpg,"[16, 10749, 14, 18]",431819,ja,打ち上げ花火、下から見るか？横から見るか？,"Moshimo, Japan. The annual fireworks festival is about to take place and a group of schoolboys, arguing over whether they are round or flat when viewed from different angles, set out to find it out.",4.6848,/ifm8CdFjYMfEq0bLT7XwJxjZmjO.jpg,2017-08-18,Fireworks,False,6.6,362
False,/9AmRLvf2xpVQ5vf2zouIwcGMz6n.jpg,"[16, 12, 35, 878, 14, 10751]",575222,ja,映画ドラえもん のび太の月面探査記,"When Nobita's class makes fun of him for believing in the moon rabbit, he embarks on an adventure with Doraemon to create a civilisation of rabbits on the moon.",3.9178,/zAZ43208e643rB3pcx8jsLqc6B9.jpg,2019-03-01,Doraemon: Nobita's Chronicle of the Moon Exploration,False,7.314,70
False,/5Wwi4rF7wmRXbU5mJD81nV6Pg4R.jpg,"[53, 16, 14]",152044,ja,劇場版 魔法少女まどか☆マギカ[後編] 永遠の物語,"As the young girls have discovered the truth about the cruel fate of a magical girl, one magical girl after another is destroyed. Throughout it all, there is one magical girl who continues to fight alone - Homura Akemi. Puella Magi Madoka Magica the Movie Part II: Eternal is a retelling of the second half of the TV anime series.",3.7488,/vPrVi40JAScg92zKEpOQPHmYrZs.jpg,2012-10-13,Puella Magi Madoka Magica the Movie Part II: Eternal,False,7.5,117
False,/5Axjq9PY7DaFYqCDfoagQmD18tW.jpg,"[16, 14, 12, 10751]",77742,ru,Наша Маша и Волшебный орех,An animated adventure that follows the adventures of a little girl and her friends as they look for a magic nut.,2.2358,/fsBZT9725qBc3tLVnIdReIfemXk.jpg,2009-12-10,Our Masha and the Magic Nut,False,2.7,6
False,/vv1l1WzwED9r6ZVUw1xTfvaSiPW.jpg,"[14, 28, 27]",460885,en,Mandy,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.",3.6457,/m0yf7J7HsKeK6E81SMRcX8vx6mH.jpg,2018-09-13,Mandy,False,6.208,2120
False,/p6Yh10E46lXpj45XvG9Mwc4HZNi.jpg,"[16, 28, 14]",20982,ja,劇場版 NARUTO -ナルト- 疾風伝,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",5.2221,/vDkct38sSFSWJIATlfJw0l3QOIR.jpg,2007-08-04,Naruto Shippuden the Movie,False,7.404,1053
False,/wmqpE7p2dUCEgCnovuovoNXaCXr.jpg,"[27, 14, 53, 9648, 28]",1353117,en,Home Sweet Home: Rebirth,"When a city is overrun with a demonically-possessed crowd, a cop must find the source of evil to save his family.",3.7219,/9rCBCm9cyI4JfLEhx3EncyncMR3.jpg,2025-03-20,Home Sweet Home: Rebirth,False,5.923,130
False,/A21DGQkh8io9CsBtyDCTbeSh0VT.jpg,"[28, 14]",37034,zh,苏乞儿,"Su Qi-Er, a wealthy man living during the Qing Dynasty who loses his fortune and reputation as a result of a conspiracy against him. After being forced out onto the streets, Su dedicates his life to martial arts and reemerges as a patriotic hero known as the ""King of Beggars.""",6.3214,/6UICxESwvJbvRHdgT0jenH1xPmW.jpg,2010-02-09,True Legend,False,6.6,241
